gene_id	type	func_id	chr	pos_start	pos_end
ENSG00000008735	250kb	250kb_22_50789114_51302409	22	50789114	51302409
ENSG00000015475	250kb	250kb_22_17966906_18507536	22	17966906	18507536
ENSG00000025708	250kb	250kb_22_50714181_51218485	22	50714181	51218485
ENSG00000025770	250kb	250kb_22_50696645_51211901	22	50696645	51211901
ENSG00000040608	250kb	250kb_22_19978938_20520769	22	19978938	20520769
ENSG00000054611	250kb	250kb_22_46908518_47821336	22	46908518	47821336
ENSG00000069998	250kb	250kb_22_17368401_17896177	22	17368401	17896177
ENSG00000070010	250kb	250kb_22_19187433_19716738	22	19187433	19716738
ENSG00000070371	250kb	250kb_22_18916986_19529239	22	18916986	19529239
ENSG00000070413	250kb	250kb_22_18773795_19359967	22	18773795	19359967
ENSG00000073150	250kb	250kb_22_50359160_50868723	22	50359160	50868723
ENSG00000073169	250kb	250kb_22_50389408_50906045	22	50389408	50906045
ENSG00000075218	250kb	250kb_22_46442638_46976707	22	46442638	46976707
ENSG00000075234	250kb	250kb_22_46413858_46939905	22	46413858	46939905
ENSG00000075240	250kb	250kb_22_46721909_47325688	22	46721909	47325688
ENSG00000075275	250kb	250kb_22_46506731_47183067	22	46506731	47183067
ENSG00000077942	250kb	250kb_22_45648118_46247015	22	45648118	46247015
ENSG00000079974	250kb	250kb_22_50955929_51472091	22	50955929	51472091
ENSG00000093000	250kb	250kb_22_45309722_45833896	22	45309722	45833896
ENSG00000093009	250kb	250kb_22_19216982_19758135	22	19216982	19758135
ENSG00000093010	250kb	250kb_22_19679130_20207498	22	19679130	20207498
ENSG00000093072	250kb	250kb_22_17410194_17952879	22	17410194	17952879
ENSG00000099889	250kb	250kb_22_19707419_20254331	22	19707419	20254331
ENSG00000099899	250kb	250kb_22_19849389_20354915	22	19849389	20354915
ENSG00000099901	250kb	250kb_22_19853461_20364878	22	19853461	20364878
ENSG00000099904	250kb	250kb_22_19866979_20385530	22	19866979	20385530
ENSG00000099910	250kb	250kb_22_20533528_21100170	22	20533528	21100170
ENSG00000099917	250kb	250kb_22_20600200_21191919	22	20600200	21191919
ENSG00000099937	250kb	250kb_22_20878167_21392008	22	20878167	21392008
ENSG00000099940	250kb	250kb_22_20963271_21495506	22	20963271	21495506
ENSG00000099942	250kb	250kb_22_21021714_21558037	22	21021714	21558037
ENSG00000099949	250kb	250kb_22_21083751_21603327	22	21083751	21603327
ENSG00000099953	250kb	250kb_22_23860413_24376503	22	23860413	24376503
ENSG00000099956	250kb	250kb_22_23879150_24426703	22	23879150	24426703
ENSG00000099957	250kb	250kb_22_21114097_21633119	22	21114097	21633119
ENSG00000099958	250kb	250kb_22_23926690_24431315	22	23926690	24431315
ENSG00000099968	250kb	250kb_22_17861621_18463388	22	17861621	18463388
ENSG00000099974	250kb	250kb_22_24059089_24564721	22	24059089	24564721
ENSG00000099977	250kb	250kb_22_24063554_24572660	22	24063554	24572660
ENSG00000099985	250kb	250kb_22_30408818_30912829	22	30408818	30912829
ENSG00000099991	250kb	250kb_22_24157642_24824596	22	24157642	24824596
ENSG00000099992	250kb	250kb_22_30437979_30973035	22	30437979	30973035
ENSG00000099994	250kb	250kb_22_24327227_24835078	22	24327227	24835078
ENSG00000099995	250kb	250kb_22_30477977_31002936	22	30477977	31002936
ENSG00000099998	250kb	250kb_22_24365622_24891110	22	24365622	24891110
ENSG00000099999	250kb	250kb_22_30523835_31067760	22	30523835	31067760
ENSG00000100003	250kb	250kb_22_30542846_31071305	22	30542846	31071305
ENSG00000100012	250kb	250kb_22_30593946_31118036	22	30593946	31118036
ENSG00000100014	250kb	250kb_22_24416786_25063708	22	24416786	25063708
ENSG00000100023	250kb	250kb_22_21756559_22304304	22	21756559	22304304
ENSG00000100024	250kb	250kb_22_24613206_25174358	22	24613206	25174358
ENSG00000100027	250kb	250kb_22_21801833_22340123	22	21801833	22340123
ENSG00000100028	250kb	250kb_22_24701471_25255947	22	24701471	25255947
ENSG00000100029	250kb	250kb_22_30722612_31253070	22	30722612	31253070
ENSG00000100030	250kb	250kb_22_21858789_22471970	22	21858789	22471970
ENSG00000100031	250kb	250kb_22_24729718_25274972	22	24729718	25274972
ENSG00000100033	250kb	250kb_22_18650294_19174066	22	18650294	19174066
ENSG00000100034	250kb	250kb_22_22023793_22557209	22	22023793	22557209
ENSG00000100036	250kb	250kb_22_30781639_31315003	22	30781639	31315003
ENSG00000100038	250kb	250kb_22_22061397_22587213	22	22061397	22587213
ENSG00000100055	250kb	250kb_22_37428068_37961382	22	37428068	37961382
ENSG00000100056	250kb	250kb_22_18867792_19382197	22	18867792	19382197
ENSG00000100058	250kb	250kb_22_25594072_26166821	22	25594072	26166821
ENSG00000100060	250kb	250kb_22_37615101_38132439	22	37615101	38132439
ENSG00000100065	250kb	250kb_22_37636400_38165549	22	37636400	38165549
ENSG00000100068	250kb	250kb_22_25497385_26051344	22	25497385	26051344
ENSG00000100075	250kb	250kb_22_18913095_19416343	22	18913095	19416343
ENSG00000100077	250kb	250kb_22_25710816_26375261	22	25710816	26375261
ENSG00000100079	250kb	250kb_22_37716255_38228623	22	37716255	38228623
ENSG00000100083	250kb	250kb_22_37754481_38279571	22	37754481	38279571
ENSG00000100084	250kb	250kb_22_19068221_19685224	22	19068221	19685224
ENSG00000100092	250kb	250kb_22_37780661_38312939	22	37780661	38312939
ENSG00000100095	250kb	250kb_22_26315440_27029562	22	26315440	27029562
ENSG00000100097	250kb	250kb_22_37821615_38325813	22	37821615	38325813
ENSG00000100099	250kb	250kb_22_26589389_27129803	22	26589389	27129803
ENSG00000100100	250kb	250kb_22_31427579_31938520	22	31427579	31938520
ENSG00000100101	250kb	250kb_22_37827680_38420137	22	37827680	38420137
ENSG00000100104	250kb	250kb_22_26629843_27140624	22	26629843	27140624
ENSG00000100105	250kb	250kb_22_31471790_31992218	22	31471790	31992218
ENSG00000100106	250kb	250kb_22_37843011_38422563	22	37843011	38422563
ENSG00000100109	250kb	250kb_22_26637191_27158471	22	26637191	27158471
ENSG00000100116	250kb	250kb_22_37953912_38463183	22	37953912	38463183
ENSG00000100122	250kb	250kb_22_26745242_27264052	22	26745242	27264052
ENSG00000100124	250kb	250kb_22_37976862_38495334	22	37976862	38495334
ENSG00000100129	250kb	250kb_22_37994875_38535414	22	37994875	38535414
ENSG00000100138	250kb	250kb_22_41819934_42336508	22	41819934	42336508
ENSG00000100139	250kb	250kb_22_38051664_38588829	22	38051664	38588829
ENSG00000100142	250kb	250kb_22_38098614_38687922	22	38098614	38687922
ENSG00000100146	250kb	250kb_22_38116693_38633429	22	38116693	38633429
ENSG00000100147	250kb	250kb_22_41946683_42472303	22	41946683	42472303
ENSG00000100150	250kb	250kb_22_31899944_32553012	22	31899944	32553012
ENSG00000100151	250kb	250kb_22_38202318_38721708	22	38202318	38721708
ENSG00000100154	250kb	250kb_22_28124004_29325853	22	28124004	29325853
ENSG00000100156	250kb	250kb_22_38224141_38730100	22	38224141	38730100
ENSG00000100162	250kb	250kb_22_42084725_42593168	22	42084725	42593168
ENSG00000100167	250kb	250kb_22_42122276_42644225	22	42122276	42644225
ENSG00000100181	250kb	250kb_22_16832777_17429632	22	16832777	17429632
ENSG00000100196	250kb	250kb_22_38614067_39129452	22	38614067	39129452
ENSG00000100197	250kb	250kb_22_42272501_42776908	22	42272501	42776908
ENSG00000100201	250kb	250kb_22_38629445_39153665	22	38629445	39153665
ENSG00000100206	250kb	250kb_22_38664954_39216291	22	38664954	39216291
ENSG00000100207	250kb	250kb_22_42306019_42989622	22	42306019	42989622
ENSG00000100209	250kb	250kb_22_28888019_29403503	22	28888019	29403503
ENSG00000100211	250kb	250kb_22_38802641_39319859	22	38802641	39319859
ENSG00000100216	250kb	250kb_22_38827953_39330818	22	38827953	39330818
ENSG00000100218	250kb	250kb_22_23151593_23737208	22	23151593	23737208
ENSG00000100219	250kb	250kb_22_28940543_29446585	22	28940543	29446585
ENSG00000100220	250kb	250kb_22_32533569_33058242	22	32533569	33058242
ENSG00000100221	250kb	250kb_22_38831548_39347561	22	38831548	39347561
ENSG00000100225	250kb	250kb_22_32620663_33144818	22	32620663	33144818
ENSG00000100226	250kb	250kb_22_38851728_39384304	22	38851728	39384304
ENSG00000100227	250kb	250kb_22_42729727_43260968	22	42729727	43260968
ENSG00000100228	250kb	250kb_22_23237513_23756537	22	23237513	23756537
ENSG00000100234	250kb	250kb_22_32947687_33509030	22	32947687	33509030
ENSG00000100239	250kb	250kb_22_50531733_51133514	22	50531733	51133514
ENSG00000100241	250kb	250kb_22_50633429_51163454	22	50633429	51163454
ENSG00000100242	250kb	250kb_22_38880730_39440148	22	38880730	39440148
ENSG00000100243	250kb	250kb_22_42763846_43295574	22	42763846	43295574
ENSG00000100246	250kb	250kb_22_38924513_39440203	22	38924513	39440203
ENSG00000100253	250kb	250kb_22_50675213_51179077	22	50675213	51179077
