gene_id	type	func_id	chr	pos_start	pos_end
ENSG00000069998	tad	tad_22_16040000_18000000	22	16040000	18000000
ENSG00000093072	tad	tad_22_16040000_18000000	22	16040000	18000000
ENSG00000100181	tad	tad_22_16040000_18000000	22	16040000	18000000
ENSG00000172967	tad	tad_22_16040000_18000000	22	16040000	18000000
ENSG00000177663	tad	tad_22_16040000_18000000	22	16040000	18000000
ENSG00000183307	tad	tad_22_16040000_18000000	22	16040000	18000000
ENSG00000235328	tad	tad_22_16040000_18000000	22	16040000	18000000
ENSG00000235478	tad	tad_22_16040000_18000000	22	16040000	18000000
ENSG00000237438	tad	tad_22_16040000_18000000	22	16040000	18000000
ENSG00000273203	tad	tad_22_16040000_18000000	22	16040000	18000000
ENSG00000015475	tad	tad_22_18040000_18720000	22	18040000	18720000
ENSG00000099968	tad	tad_22_18040000_18720000	22	18040000	18720000
ENSG00000131100	tad	tad_22_18040000_18720000	22	18040000	18720000
ENSG00000182902	tad	tad_22_18040000_18720000	22	18040000	18720000
ENSG00000183785	tad	tad_22_18040000_18720000	22	18040000	18720000
ENSG00000184979	tad	tad_22_18040000_18720000	22	18040000	18720000
ENSG00000215193	tad	tad_22_18040000_18720000	22	18040000	18720000
ENSG00000225335	tad	tad_22_18040000_18720000	22	18040000	18720000
ENSG00000236754	tad	tad_22_18040000_18720000	22	18040000	18720000
ENSG00000243156	tad	tad_22_18040000_18720000	22	18040000	18720000
ENSG00000269220	tad	tad_22_18040000_18720000	22	18040000	18720000
ENSG00000040608	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000070010	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000070371	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000070413	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000093009	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000093010	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000099889	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000099899	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000099901	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000099904	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000100056	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000100075	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000100084	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000128185	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000128191	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000183597	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000184058	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000184113	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000184470	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000184702	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000185065	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000185608	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000185838	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000215012	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000223461	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000232926	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000234409	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000235776	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000236499	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000236540	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000241527	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000242259	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000260924	tad	tad_22_18960000_20320000	22	18960000	20320000
ENSG00000272682	tad	tad_22_18960000_20320000	22	18960000	20320000
