gene_id	type	func_id	chr	pos_start	pos_end
ENSG00000008735	1mb	1mb_22_50039114_52052409	22	50039114	52052409
ENSG00000015475	1mb	1mb_22_17216906_19257536	22	17216906	19257536
ENSG00000025708	1mb	1mb_22_49964181_51968485	22	49964181	51968485
ENSG00000025770	1mb	1mb_22_49946645_51961901	22	49946645	51961901
ENSG00000040608	1mb	1mb_22_19228938_21270769	22	19228938	21270769
ENSG00000054611	1mb	1mb_22_46158518_48571336	22	46158518	48571336
ENSG00000069998	1mb	1mb_22_16618401_18646177	22	16618401	18646177
ENSG00000070010	1mb	1mb_22_18437433_20466738	22	18437433	20466738
ENSG00000070371	1mb	1mb_22_18166986_20279239	22	18166986	20279239
ENSG00000070413	1mb	1mb_22_18023795_20109967	22	18023795	20109967
ENSG00000073150	1mb	1mb_22_49609160_51618723	22	49609160	51618723
ENSG00000073169	1mb	1mb_22_49639408_51656045	22	49639408	51656045
ENSG00000075218	1mb	1mb_22_45692638_47726707	22	45692638	47726707
ENSG00000075234	1mb	1mb_22_45663858_47689905	22	45663858	47689905
ENSG00000075240	1mb	1mb_22_45971909_48075688	22	45971909	48075688
ENSG00000075275	1mb	1mb_22_45756731_47933067	22	45756731	47933067
ENSG00000077942	1mb	1mb_22_44898118_46997015	22	44898118	46997015
ENSG00000079974	1mb	1mb_22_50205929_52222091	22	50205929	52222091
ENSG00000093000	1mb	1mb_22_44559722_46583896	22	44559722	46583896
ENSG00000093009	1mb	1mb_22_18466982_20508135	22	18466982	20508135
ENSG00000093010	1mb	1mb_22_18929130_20957498	22	18929130	20957498
ENSG00000093072	1mb	1mb_22_16660194_18702879	22	16660194	18702879
ENSG00000099889	1mb	1mb_22_18957419_21004331	22	18957419	21004331
ENSG00000099899	1mb	1mb_22_19099389_21104915	22	19099389	21104915
ENSG00000099901	1mb	1mb_22_19103461_21114878	22	19103461	21114878
ENSG00000099904	1mb	1mb_22_19116979_21135530	22	19116979	21135530
ENSG00000099910	1mb	1mb_22_19783528_21850170	22	19783528	21850170
ENSG00000099917	1mb	1mb_22_19850200_21941919	22	19850200	21941919
ENSG00000099937	1mb	1mb_22_20128167_22142008	22	20128167	22142008
ENSG00000099940	1mb	1mb_22_20213271_22245506	22	20213271	22245506
ENSG00000099942	1mb	1mb_22_20271714_22308037	22	20271714	22308037
ENSG00000099949	1mb	1mb_22_20333751_22353327	22	20333751	22353327
ENSG00000099953	1mb	1mb_22_23110413_25126503	22	23110413	25126503
ENSG00000099956	1mb	1mb_22_23129150_25176703	22	23129150	25176703
ENSG00000099957	1mb	1mb_22_20364097_22383119	22	20364097	22383119
ENSG00000099958	1mb	1mb_22_23176690_25181315	22	23176690	25181315
ENSG00000099968	1mb	1mb_22_17111621_19213388	22	17111621	19213388
ENSG00000099974	1mb	1mb_22_23309089_25314721	22	23309089	25314721
ENSG00000099977	1mb	1mb_22_23313554_25322660	22	23313554	25322660
ENSG00000099985	1mb	1mb_22_29658818_31662829	22	29658818	31662829
ENSG00000099991	1mb	1mb_22_23407642_25574596	22	23407642	25574596
ENSG00000099992	1mb	1mb_22_29687979_31723035	22	29687979	31723035
ENSG00000099994	1mb	1mb_22_23577227_25585078	22	23577227	25585078
ENSG00000099995	1mb	1mb_22_29727977_31752936	22	29727977	31752936
ENSG00000099998	1mb	1mb_22_23615622_25641110	22	23615622	25641110
ENSG00000099999	1mb	1mb_22_29773835_31817760	22	29773835	31817760
ENSG00000100003	1mb	1mb_22_29792846_31821305	22	29792846	31821305
ENSG00000100012	1mb	1mb_22_29843946_31868036	22	29843946	31868036
ENSG00000100014	1mb	1mb_22_23666786_25813708	22	23666786	25813708
ENSG00000100023	1mb	1mb_22_21006559_23054304	22	21006559	23054304
ENSG00000100024	1mb	1mb_22_23863206_25924358	22	23863206	25924358
ENSG00000100027	1mb	1mb_22_21051833_23090123	22	21051833	23090123
ENSG00000100028	1mb	1mb_22_23951471_26005947	22	23951471	26005947
ENSG00000100029	1mb	1mb_22_29972612_32003070	22	29972612	32003070
ENSG00000100030	1mb	1mb_22_21108789_23221970	22	21108789	23221970
ENSG00000100031	1mb	1mb_22_23979718_26024972	22	23979718	26024972
ENSG00000100033	1mb	1mb_22_17900294_19924066	22	17900294	19924066
ENSG00000100034	1mb	1mb_22_21273793_23307209	22	21273793	23307209
ENSG00000100036	1mb	1mb_22_30031639_32065003	22	30031639	32065003
ENSG00000100038	1mb	1mb_22_21311397_23337213	22	21311397	23337213
ENSG00000100055	1mb	1mb_22_36678068_38711382	22	36678068	38711382
ENSG00000100056	1mb	1mb_22_18117792_20132197	22	18117792	20132197
ENSG00000100058	1mb	1mb_22_24844072_26916821	22	24844072	26916821
ENSG00000100060	1mb	1mb_22_36865101_38882439	22	36865101	38882439
ENSG00000100065	1mb	1mb_22_36886400_38915549	22	36886400	38915549
ENSG00000100068	1mb	1mb_22_24747385_26801344	22	24747385	26801344
ENSG00000100075	1mb	1mb_22_18163095_20166343	22	18163095	20166343
ENSG00000100077	1mb	1mb_22_24960816_27125261	22	24960816	27125261
ENSG00000100079	1mb	1mb_22_36966255_38978623	22	36966255	38978623
ENSG00000100083	1mb	1mb_22_37004481_39029571	22	37004481	39029571
ENSG00000100084	1mb	1mb_22_18318221_20435224	22	18318221	20435224
ENSG00000100092	1mb	1mb_22_37030661_39062939	22	37030661	39062939
ENSG00000100095	1mb	1mb_22_25565440_27779562	22	25565440	27779562
ENSG00000100097	1mb	1mb_22_37071615_39075813	22	37071615	39075813
ENSG00000100099	1mb	1mb_22_25839389_27879803	22	25839389	27879803
ENSG00000100100	1mb	1mb_22_30677579_32688520	22	30677579	32688520
ENSG00000100101	1mb	1mb_22_37077680_39170137	22	37077680	39170137
ENSG00000100104	1mb	1mb_22_25879843_27890624	22	25879843	27890624
ENSG00000100105	1mb	1mb_22_30721790_32742218	22	30721790	32742218
ENSG00000100106	1mb	1mb_22_37093011_39172563	22	37093011	39172563
ENSG00000100109	1mb	1mb_22_25887191_27908471	22	25887191	27908471
ENSG00000100116	1mb	1mb_22_37203912_39213183	22	37203912	39213183
ENSG00000100122	1mb	1mb_22_25995242_28014052	22	25995242	28014052
ENSG00000100124	1mb	1mb_22_37226862_39245334	22	37226862	39245334
ENSG00000100129	1mb	1mb_22_37244875_39285414	22	37244875	39285414
ENSG00000100138	1mb	1mb_22_41069934_43086508	22	41069934	43086508
ENSG00000100139	1mb	1mb_22_37301664_39338829	22	37301664	39338829
ENSG00000100142	1mb	1mb_22_37348614_39437922	22	37348614	39437922
ENSG00000100146	1mb	1mb_22_37366693_39383429	22	37366693	39383429
ENSG00000100147	1mb	1mb_22_41196683_43222303	22	41196683	43222303
ENSG00000100150	1mb	1mb_22_31149944_33303012	22	31149944	33303012
ENSG00000100151	1mb	1mb_22_37452318_39471708	22	37452318	39471708
ENSG00000100154	1mb	1mb_22_27374004_30075853	22	27374004	30075853
ENSG00000100156	1mb	1mb_22_37474141_39480100	22	37474141	39480100
ENSG00000100162	1mb	1mb_22_41334725_43343168	22	41334725	43343168
ENSG00000100167	1mb	1mb_22_41372276_43394225	22	41372276	43394225
ENSG00000100181	1mb	1mb_22_16082777_18179632	22	16082777	18179632
ENSG00000100196	1mb	1mb_22_37864067_39879452	22	37864067	39879452
ENSG00000100197	1mb	1mb_22_41522501_43526908	22	41522501	43526908
ENSG00000100201	1mb	1mb_22_37879445_39903665	22	37879445	39903665
ENSG00000100206	1mb	1mb_22_37914954_39966291	22	37914954	39966291
ENSG00000100207	1mb	1mb_22_41556019_43739622	22	41556019	43739622
ENSG00000100209	1mb	1mb_22_28138019_30153503	22	28138019	30153503
ENSG00000100211	1mb	1mb_22_38052641_40069859	22	38052641	40069859
ENSG00000100216	1mb	1mb_22_38077953_40080818	22	38077953	40080818
ENSG00000100218	1mb	1mb_22_22401593_24487208	22	22401593	24487208
ENSG00000100219	1mb	1mb_22_28190543_30196585	22	28190543	30196585
ENSG00000100220	1mb	1mb_22_31783569_33808242	22	31783569	33808242
ENSG00000100221	1mb	1mb_22_38081548_40097561	22	38081548	40097561
ENSG00000100225	1mb	1mb_22_31870663_33894818	22	31870663	33894818
ENSG00000100226	1mb	1mb_22_38101728_40134304	22	38101728	40134304
ENSG00000100227	1mb	1mb_22_41979727_44010968	22	41979727	44010968
ENSG00000100228	1mb	1mb_22_22487513_24506537	22	22487513	24506537
ENSG00000100234	1mb	1mb_22_32197687_34259030	22	32197687	34259030
ENSG00000100239	1mb	1mb_22_49781733_51883514	22	49781733	51883514
ENSG00000100241	1mb	1mb_22_49883429_51913454	22	49883429	51913454
ENSG00000100242	1mb	1mb_22_38130730_40190148	22	38130730	40190148
ENSG00000100243	1mb	1mb_22_42013846_44045574	22	42013846	44045574
ENSG00000100246	1mb	1mb_22_38174513_40190203	22	38174513	40190203
ENSG00000100253	1mb	1mb_22_49925213_51929077	22	49925213	51929077
ENSG00000100258	1mb	1mb_22_49941376_51946135	22	49941376	51946135
ENSG00000100263	1mb	1mb_22_28655841_30664198	22	28655841	30664198
ENSG00000100266	1mb	1mb_22_42231418_44411151	22	42231418	44411151
ENSG00000100271	1mb	1mb_22_42435522_44485434	22	42435522	44485434
ENSG00000100276	1mb	1mb_22_28708922_30715668	22	28708922	30715668
ENSG00000100280	1mb	1mb_22_28723669_30819168	22	28723669	30819168
ENSG00000100281	1mb	1mb_22_34653445_36691800	22	34653445	36691800
ENSG00000100284	1mb	1mb_22_34695268_36743985	22	34695268	36743985
ENSG00000100285	1mb	1mb_22_28876219_30887379	22	28876219	30887379
ENSG00000100288	1mb	1mb_22_50017378_52039884	22	50017378	52039884
ENSG00000100290	1mb	1mb_22_42506754_44525718	22	42506754	44525718
ENSG00000100292	1mb	1mb_22_34776354_36790207	22	34776354	36790207
ENSG00000100294	1mb	1mb_22_42528212_44539400	22	42528212	44539400
ENSG00000100296	1mb	1mb_22_28901868_30951205	22	28901868	30951205
ENSG00000100297	1mb	1mb_22_34796056_36821423	22	34796056	36821423
ENSG00000100298	1mb	1mb_22_38493229_40500072	22	38493229	40500072
ENSG00000100299	1mb	1mb_22_50061182_52066607	22	50061182	52066607
ENSG00000100300	1mb	1mb_22_42547520_44559248	22	42547520	44559248
ENSG00000100302	1mb	1mb_22_34936915_36950048	22	34936915	36950048
ENSG00000100304	1mb	1mb_22_42562628_44583139	22	42562628	44583139
ENSG00000100307	1mb	1mb_22_38516172_40548679	22	38516172	40548679
ENSG00000100311	1mb	1mb_22_38619364_40640756	22	38619364	40640756
ENSG00000100314	1mb	1mb_22_29116073_31127828	22	29116073	31127828
ENSG00000100316	1mb	1mb_22_38708887_40716394	22	38708887	40716394
ENSG00000100319	1mb	1mb_22_29126945_31163000	22	29126945	31163000
ENSG00000100320	1mb	1mb_22_35134783_37424473	22	35134783	37424473
ENSG00000100321	1mb	1mb_22_38745930_40781593	22	38745930	40781593
ENSG00000100324	1mb	1mb_22_38795746_40833065	22	38795746	40833065
ENSG00000100325	1mb	1mb_22_29184597_31234271	22	29184597	31234271
ENSG00000100330	1mb	1mb_22_29279144_31426855	22	29279144	31426855
ENSG00000100335	1mb	1mb_22_38895437_40914137	22	38895437	40914137
ENSG00000100336	1mb	1mb_22_35585172_37600886	22	35585172	37600886
ENSG00000100342	1mb	1mb_22_35649056_37663576	22	35649056	37663576
ENSG00000100345	1mb	1mb_22_35677327_37784063	22	35677327	37784063
ENSG00000100346	1mb	1mb_22_38966758_41085742	22	38966758	41085742
ENSG00000100347	1mb	1mb_22_43351301_45406411	22	43351301	45406411
ENSG00000100348	1mb	1mb_22_35863083_37878077	22	35863083	37878077
ENSG00000100350	1mb	1mb_22_35883237_37903148	22	35883237	37903148
ENSG00000100351	1mb	1mb_22_39297086_41369725	22	39297086	41369725
ENSG00000100353	1mb	1mb_22_35906897_37925483	22	35906897	37925483
ENSG00000100354	1mb	1mb_22_39440821_41731812	22	39440821	41731812
ENSG00000100359	1mb	1mb_22_39766595_41806293	22	39766595	41806293
ENSG00000100360	1mb	1mb_22_36154246_38172300	22	36154246	38172300
ENSG00000100362	1mb	1mb_22_36196728_38215523	22	36196728	38215523
ENSG00000100364	1mb	1mb_22_44586219_46636650	22	44586219	46636650
ENSG00000100365	1mb	1mb_22_36257030_38274057	22	36257030	38274057
ENSG00000100368	1mb	1mb_22_36309670_38336491	22	36309670	38336491
ENSG00000100372	1mb	1mb_22_40165634_42215403	22	40165634	42215403
ENSG00000100373	1mb	1mb_22_44680863_46691755	22	44680863	46691755
ENSG00000100376	1mb	1mb_22_44704849_46737836	22	44704849	46737836
ENSG00000100379	1mb	1mb_22_36447779_38459430	22	36447779	38459430
ENSG00000100380	1mb	1mb_22_40220539_42253026	22	40220539	42253026
ENSG00000100385	1mb	1mb_22_36521878_38571094	22	36521878	38571094
ENSG00000100387	1mb	1mb_22_40347351_42369313	22	40347351	42369313
ENSG00000100393	1mb	1mb_22_40487790_42576081	22	40487790	42576081
ENSG00000100395	1mb	1mb_22_40601209_42627275	22	40601209	42627275
ENSG00000100399	1mb	1mb_22_40625517_42636938	22	40625517	42636938
ENSG00000100401	1mb	1mb_22_40641615_42682255	22	40641615	42682255
ENSG00000100403	1mb	1mb_22_40697526_42756151	22	40697526	42756151
ENSG00000100410	1mb	1mb_22_40855721_42864729	22	40855721	42864729
ENSG00000100412	1mb	1mb_22_40865129_42924993	22	40865129	42924993
ENSG00000100413	1mb	1mb_22_40921808_42940610	22	40921808	42940610
ENSG00000100416	1mb	1mb_22_45726772_47753237	22	45726772	47753237
ENSG00000100417	1mb	1mb_22_40972898_42985894	22	40972898	42985894
ENSG00000100418	1mb	1mb_22_40994032_43017100	22	40994032	43017100
ENSG00000100422	1mb	1mb_22_46080308_48134158	22	46080308	48134158
ENSG00000100425	1mb	1mb_22_49166931_51221160	22	49166931	51221160
ENSG00000100426	1mb	1mb_22_49247490_51283726	22	49247490	51283726
ENSG00000100427	1mb	1mb_22_49497820_51524331	22	49497820	51524331
ENSG00000100429	1mb	1mb_22_49683612_51689834	22	49683612	51689834
ENSG00000128159	1mb	1mb_22_49656118_51683421	22	49656118	51683421
ENSG00000128165	1mb	1mb_22_49919985_51924869	22	49919985	51924869
ENSG00000128185	1mb	1mb_22_19301799_21307603	22	19301799	21307603
ENSG00000128191	1mb	1mb_22_19067755_21099400	22	19067755	21099400
ENSG00000128203	1mb	1mb_22_25825239_27840981	22	25825239	27840981
ENSG00000128218	1mb	1mb_22_23094930_25096655	22	23094930	25096655
ENSG00000128228	1mb	1mb_22_20996550_22998587	22	20996550	22998587
ENSG00000128242	1mb	1mb_22_29950622_31970574	22	29950622	31970574
ENSG00000128245	1mb	1mb_22_31340447_33353590	22	31340447	33353590
ENSG00000128253	1mb	1mb_22_31586422_33600718	22	31586422	33600718
ENSG00000128254	1mb	1mb_22_31329507_33341504	22	31329507	33341504
ENSG00000128266	1mb	1mb_22_22412540_24467224	22	22412540	24467224
ENSG00000128268	1mb	1mb_22_38853349_40888199	22	38853349	40888199
ENSG00000128271	1mb	1mb_22_23813847_25838328	22	23813847	25838328
ENSG00000128272	1mb	1mb_22_38915700_40918691	22	38915700	40918691
ENSG00000128274	1mb	1mb_22_42088127_44117304	22	42088127	44117304
ENSG00000128283	1mb	1mb_22_36956454_38965412	22	36956454	38965412
ENSG00000128284	1mb	1mb_22_35536372_37562225	22	35536372	37562225
ENSG00000128285	1mb	1mb_22_40074754_42078818	22	40074754	42078818
ENSG00000128294	1mb	1mb_22_25921458_27992681	22	25921458	27992681
ENSG00000128298	1mb	1mb_22_37480896_39506677	22	37480896	39506677
ENSG00000128309	1mb	1mb_22_36415676_38425863	22	36415676	38425863
ENSG00000128311	1mb	1mb_22_36406900_38415681	22	36406900	38415681
ENSG00000128322	1mb	1mb_22_22915312_24922495	22	22915312	24922495
ENSG00000128335	1mb	1mb_22_35622256_37636000	22	35622256	37636000
ENSG00000128340	1mb	1mb_22_36621301_38640488	22	36621301	38640488
ENSG00000128342	1mb	1mb_22_29636436_31642840	22	29636436	31642840
ENSG00000128346	1mb	1mb_22_37339528_39349676	22	37339528	39349676
ENSG00000128383	1mb	1mb_22_38348746_40359188	22	38348746	40359188
ENSG00000128394	1mb	1mb_22_38436609_40449915	22	38436609	40449915
ENSG00000128408	1mb	1mb_22_44809572_46828376	22	44809572	46828376
ENSG00000130487	1mb	1mb_22_49986462_51989451	22	49986462	51989451
ENSG00000130489	1mb	1mb_22_49961997_51964868	22	49961997	51964868
ENSG00000130540	1mb	1mb_22_43220389_45258398	22	43220389	45258398
ENSG00000130638	1mb	1mb_22_45067678_47241187	22	45067678	47241187
ENSG00000131100	1mb	1mb_22_17074902_19111584	22	17074902	19111584
ENSG00000133422	1mb	1mb_22_30321117_32364284	22	30321117	32364284
ENSG00000133424	1mb	1mb_22_32558212_35318829	22	32558212	35318829
ENSG00000133454	1mb	1mb_22_25138111_27427007	22	25138111	27427007
ENSG00000133460	1mb	1mb_22_23198890_25228496	22	23198890	25228496
ENSG00000133466	1mb	1mb_22_36576207_38595425	22	36576207	38595425
ENSG00000133477	1mb	1mb_22_39390953_41439533	22	39390953	41439533
ENSG00000133488	1mb	1mb_22_29884900_31901698	22	29884900	31901698
ENSG00000138867	1mb	1mb_22_23936406_25951903	22	23936406	25951903
ENSG00000138942	1mb	1mb_22_30556168_32603005	22	30556168	32603005
ENSG00000138964	1mb	1mb_22_43568836_45615413	22	43568836	45615413
ENSG00000159496	1mb	1mb_22_23030323_25041363	22	23030323	25041363
ENSG00000159873	1mb	1mb_22_28168662_30185283	22	28168662	30185283
ENSG00000159958	1mb	1mb_22_41321045_43322822	22	41321045	43322822
ENSG00000161149	1mb	1mb_22_20357184_22368581	22	20357184	22368581
ENSG00000161179	1mb	1mb_22_20982378_22984353	22	20982378	22984353
ENSG00000161180	1mb	1mb_22_20987005_22991616	22	20987005	22991616
ENSG00000166897	1mb	1mb_22_36764000_38823505	22	36764000	38823505
ENSG00000167037	1mb	1mb_22_24202236_26323545	22	24202236	26323545
ENSG00000167065	1mb	1mb_22_30048038_32063877	22	30048038	32063877
ENSG00000167074	1mb	1mb_22_40763337_42795330	22	40763337	42795330
ENSG00000167077	1mb	1mb_22_41095503_43195460	22	41095503	43195460
ENSG00000169184	1mb	1mb_22_27144265_29197486	22	27144265	29197486
ENSG00000169314	1mb	1mb_22_23105208_25108048	22	23105208	25108048
ENSG00000169635	1mb	1mb_22_20771693_22805752	22	20771693	22805752
ENSG00000170638	1mb	1mb_22_49624344_51638027	22	49624344	51638027
ENSG00000172346	1mb	1mb_22_40956767_42973745	22	40956767	42973745
ENSG00000172404	1mb	1mb_22_40255553_42258130	22	40255553	42258130
ENSG00000172967	1mb	1mb_22_16264302_18302589	22	16264302	18302589
ENSG00000177096	1mb	1mb_22_41470255_43475445	22	41470255	43475445
ENSG00000177663	1mb	1mb_22_16565844_18596583	22	16565844	18596583
ENSG00000177989	1mb	1mb_22_49968139_51971009	22	49968139	51971009
ENSG00000178026	1mb	1mb_22_23981588_25989175	22	23981588	25989175
ENSG00000178803	1mb	1mb_22_23825178_25891042	22	23825178	25891042
ENSG00000179750	1mb	1mb_22_38378352_40388809	22	38378352	40388809
ENSG00000180957	1mb	1mb_22_27247657_29316122	22	27247657	29316122
ENSG00000182057	1mb	1mb_22_41665759_43671202	22	41665759	43671202
ENSG00000182257	1mb	1mb_22_45445358_47450024	22	45445358	47450024
ENSG00000182502	1mb	1mb_22_21469236_23472374	22	21469236	23472374
ENSG00000182541	1mb	1mb_22_30608225_32676066	22	30608225	32676066
ENSG00000182841	1mb	1mb_22_41951229_43978044	22	41951229	43978044
ENSG00000182858	1mb	1mb_22_49293877_51312106	22	49293877	51312106
ENSG00000182902	1mb	1mb_22_17043139_19073760	22	17043139	19073760
ENSG00000182944	1mb	1mb_22_28663998_30696515	22	28663998	30696515
ENSG00000183066	1mb	1mb_22_41394729_43454460	22	41394729	43454460
ENSG00000183172	1mb	1mb_22_41475695_43480288	22	41475695	43480288
ENSG00000183307	1mb	1mb_22_16597189_18602257	22	16597189	18602257
ENSG00000183473	1mb	1mb_22_36600278_38608362	22	36600278	38608362
ENSG00000183506	1mb	1mb_22_20827289_22871822	22	20827289	22871822
ENSG00000183530	1mb	1mb_22_31072242_33146126	22	31072242	33146126
ENSG00000183569	1mb	1mb_22_41949623_43970388	22	41949623	43970388
ENSG00000183579	1mb	1mb_22_28279580_30453475	22	28279580	30453475
ENSG00000183597	1mb	1mb_22_19004537_21053449	22	19004537	21053449
ENSG00000183628	1mb	1mb_22_17893541_19901751	22	17893541	19901751
ENSG00000183741	1mb	1mb_22_38257455_40268319	22	38257455	40268319
ENSG00000183762	1mb	1mb_22_28469066_30564321	22	28469066	30564321
ENSG00000183765	1mb	1mb_22_28083731_30138410	22	28083731	30138410
ENSG00000183773	1mb	1mb_22_20319396_22335649	22	20319396	22335649
ENSG00000183785	1mb	1mb_22_17593097_19629321	22	17593097	19629321
ENSG00000183822	1mb	1mb_22_36243415_38266483	22	36243415	38266483
ENSG00000183864	1mb	1mb_22_40829496_42843027	22	40829496	42843027
ENSG00000183963	1mb	1mb_22_30460091_32500743	22	30460091	32500743
ENSG00000184058	1mb	1mb_22_18744226_20771116	22	18744226	20771116
ENSG00000184068	1mb	1mb_22_41227219_43230669	22	41227219	43230669
ENSG00000184076	1mb	1mb_22_29163358_31166402	22	29163358	31166402
ENSG00000184113	1mb	1mb_22_18510547_20515068	22	18510547	20515068
ENSG00000184117	1mb	1mb_22_28950797_30977326	22	28950797	30977326
ENSG00000184164	1mb	1mb_22_49311815_51321188	22	49311815	51321188
ENSG00000184208	1mb	1mb_22_41084943_43094140	22	41084943	43094140
ENSG00000184319	1mb	1mb_22_50195376_52239737	22	50195376	52239737
ENSG00000184381	1mb	1mb_22_37507502_39601697	22	37507502	39601697
ENSG00000184436	1mb	1mb_22_20353393_22356485	22	20353393	22356485
ENSG00000184470	1mb	1mb_22_18863040_20929341	22	18863040	20929341
ENSG00000184674	1mb	1mb_22_23376133_25384680	22	23376133	25384680
ENSG00000184702	1mb	1mb_22_18701987_20712295	22	18701987	20712295
ENSG00000184708	1mb	1mb_22_30832963_32892094	22	30832963	32892094
ENSG00000184792	1mb	1mb_22_30089769_32303811	22	30089769	32303811
ENSG00000184979	1mb	1mb_22_17632666_19660164	22	17632666	19660164
ENSG00000184983	1mb	1mb_22_41481529_43486959	22	41481529	43486959
ENSG00000185022	1mb	1mb_22_37597889_39612518	22	37597889	39612518
ENSG00000185065	1mb	1mb_22_18435416_20437628	22	18435416	20437628
ENSG00000185133	1mb	1mb_22_30518717_32530682	22	30518717	32530682
ENSG00000185252	1mb	1mb_22_19748405_21762745	22	19748405	21762745
ENSG00000185339	1mb	1mb_22_30002825_32023265	22	30002825	32023265
ENSG00000185340	1mb	1mb_22_28702572_30708774	22	28702572	30708774
ENSG00000185386	1mb	1mb_22_49702142_51709196	22	49702142	51709196
ENSG00000185608	1mb	1mb_22_18419425_20423598	22	18419425	20423598
ENSG00000185651	1mb	1mb_22_20903736_22978323	22	20903736	22978323
ENSG00000185686	1mb	1mb_22_21890123_23901768	22	21890123	23901768
ENSG00000185721	1mb	1mb_22_30795509_32924726	22	30795509	32924726
ENSG00000185838	1mb	1mb_22_18770747_20842462	22	18770747	20842462
ENSG00000186575	1mb	1mb_22_28999545_31094587	22	28999545	31094587
ENSG00000186654	1mb	1mb_22_44064593_46133561	22	44064593	46133561
ENSG00000186716	1mb	1mb_22_22521891_24660224	22	22521891	24660224
ENSG00000186951	1mb	1mb_22_45546424_47639653	22	45546424	47639653
ENSG00000186998	1mb	1mb_22_28601840_30655586	22	28601840	30655586
ENSG00000187045	1mb	1mb_22_36461476_38505603	22	36461476	38505603
ENSG00000187051	1mb	1mb_22_38925098_40928860	22	38925098	40928860
ENSG00000187792	1mb	1mb_22_23083769_25093279	22	23083769	25093279
ENSG00000187860	1mb	1mb_22_29752624_31774647	22	29752624	31774647
ENSG00000188130	1mb	1mb_22_49683879_51700254	22	49683879	51700254
ENSG00000188511	1mb	1mb_22_48808176_51051190	22	48808176	51051190
ENSG00000188636	1mb	1mb_22_43888452_45894178	22	43888452	45894178
ENSG00000188677	1mb	1mb_22_43395091_45568829	22	43395091	45568829
ENSG00000189060	1mb	1mb_22_37201114_39203442	22	37201114	39203442
ENSG00000189269	1mb	1mb_22_22950639_24974508	22	22950639	24974508
ENSG00000189306	1mb	1mb_22_41905974_43915808	22	41905974	43915808
ENSG00000196236	1mb	1mb_22_40253081_42363838	22	40253081	42363838
ENSG00000196419	1mb	1mb_22_41017123_43060044	22	41017123	43060044
ENSG00000196431	1mb	1mb_22_26017928_28026636	22	26017928	28026636
ENSG00000196576	1mb	1mb_22_49713408_51746056	22	49713408	51746056
ENSG00000196588	1mb	1mb_22_39806285_42032706	22	39806285	42032706
ENSG00000196622	1mb	1mb_22_19456003_21461786	22	19456003	21461786
ENSG00000197077	1mb	1mb_22_24348697_26593415	22	24348697	26593415
ENSG00000197182	1mb	1mb_22_45449749_47509808	22	45449749	47509808
ENSG00000197549	1mb	1mb_22_21345496_23398332	22	21345496	23398332
ENSG00000198089	1mb	1mb_22_30884674_33014572	22	30884674	33014572
ENSG00000198125	1mb	1mb_22_35002811_37033998	22	35002811	37033998
ENSG00000198355	1mb	1mb_22_49354161_51357728	22	49354161	51357728
ENSG00000198477	1mb	1mb_22_21838767_23863505	22	21838767	23863505
ENSG00000198792	1mb	1mb_22_37615298_39669040	22	37615298	39669040
ENSG00000198832	1mb	1mb_22_30500758_32516055	22	30500758	32516055
ENSG00000198911	1mb	1mb_22_41229109_43303312	22	41229109	43303312
ENSG00000198951	1mb	1mb_22_41454358_43466846	22	41454358	43466846
ENSG00000202058	1mb	1mb_22_41961054_43961336	22	41961054	43961336
