gene_id	type	func_id	chr	pos_start	pos_end
ENSG00000069998	loop	loop_22_17550890_17680890	22	17550890	17680890
ENSG00000177663	loop	loop_22_17550890_17680890	22	17550890	17680890
ENSG00000183307	loop	loop_22_17550890_17680890	22	17550890	17680890
ENSG00000235328	loop	loop_22_17550890_17680890	22	17550890	17680890
ENSG00000235478	loop	loop_22_17550890_17680890	22	17550890	17680890
ENSG00000069998	loop	loop_22_17550890_17969032	22	17550890	17969032
ENSG00000093072	loop	loop_22_17550890_17969032	22	17550890	17969032
ENSG00000177663	loop	loop_22_17550890_17969032	22	17550890	17969032
ENSG00000183307	loop	loop_22_17550890_17969032	22	17550890	17969032
ENSG00000235328	loop	loop_22_17550890_17969032	22	17550890	17969032
ENSG00000235478	loop	loop_22_17550890_17969032	22	17550890	17969032
ENSG00000093072	loop	loop_22_17650890_17999029	22	17650890	17999029
ENSG00000015475	loop	loop_22_18212766_18302766	22	18212766	18302766
ENSG00000269220	loop	loop_22_18212766_18302766	22	18212766	18302766
ENSG00000225335	loop	loop_22_18222766_18562766	22	18222766	18562766
ENSG00000243156	loop	loop_22_18222766_18562766	22	18222766	18562766
ENSG00000269220	loop	loop_22_18222766_18562766	22	18222766	18562766
ENSG00000100056	loop	loop_22_19047513_19197510	22	19047513	19197510
ENSG00000100075	loop	loop_22_19047513_19197510	22	19047513	19197510
ENSG00000223461	loop	loop_22_19047513_19197510	22	19047513	19197510
ENSG00000260924	loop	loop_22_19047513_19197510	22	19047513	19197510
ENSG00000272682	loop	loop_22_19047513_19197510	22	19047513	19197510
ENSG00000070010	loop	loop_22_19087513_19627523	22	19087513	19627523
ENSG00000070371	loop	loop_22_19087513_19627523	22	19087513	19627523
ENSG00000093009	loop	loop_22_19087513_19627523	22	19087513	19627523
ENSG00000100056	loop	loop_22_19087513_19627523	22	19087513	19627523
ENSG00000100075	loop	loop_22_19087513_19627523	22	19087513	19627523
ENSG00000100084	loop	loop_22_19087513_19627523	22	19087513	19627523
ENSG00000184113	loop	loop_22_19087513_19627523	22	19087513	19627523
ENSG00000185065	loop	loop_22_19087513_19627523	22	19087513	19627523
ENSG00000185608	loop	loop_22_19087513_19627523	22	19087513	19627523
ENSG00000223461	loop	loop_22_19087513_19627523	22	19087513	19627523
ENSG00000242259	loop	loop_22_19087513_19627523	22	19087513	19627523
ENSG00000260924	loop	loop_22_19087513_19627523	22	19087513	19627523
ENSG00000272682	loop	loop_22_19087513_19627523	22	19087513	19627523
ENSG00000273300	loop	loop_22_19087513_19627523	22	19087513	19627523
ENSG00000070010	loop	loop_22_19167513_19467523	22	19167513	19467523
ENSG00000100084	loop	loop_22_19167513_19467523	22	19167513	19467523
ENSG00000185065	loop	loop_22_19167513_19467523	22	19167513	19467523
ENSG00000185608	loop	loop_22_19167513_19467523	22	19167513	19467523
ENSG00000242259	loop	loop_22_19167513_19467523	22	19167513	19467523
ENSG00000273300	loop	loop_22_19167513_19467523	22	19167513	19467523
ENSG00000070010	loop	loop_22_19167513_19637523	22	19167513	19637523
ENSG00000093009	loop	loop_22_19167513_19637523	22	19167513	19637523
ENSG00000100084	loop	loop_22_19167513_19637523	22	19167513	19637523
ENSG00000184113	loop	loop_22_19167513_19637523	22	19167513	19637523
ENSG00000185065	loop	loop_22_19167513_19637523	22	19167513	19637523
ENSG00000185608	loop	loop_22_19167513_19637523	22	19167513	19637523
ENSG00000242259	loop	loop_22_19167513_19637523	22	19167513	19637523
ENSG00000273300	loop	loop_22_19167513_19637523	22	19167513	19637523
ENSG00000185065	loop	loop_22_19367523_19457523	22	19367523	19457523
ENSG00000185608	loop	loop_22_19367523_19457523	22	19367523	19457523
ENSG00000273300	loop	loop_22_19367523_19457523	22	19367523	19457523
ENSG00000070010	loop	loop_22_19367523_19627523	22	19367523	19627523
ENSG00000093009	loop	loop_22_19367523_19627523	22	19367523	19627523
ENSG00000184113	loop	loop_22_19367523_19627523	22	19367523	19627523
ENSG00000185065	loop	loop_22_19367523_19627523	22	19367523	19627523
ENSG00000185608	loop	loop_22_19367523_19627523	22	19367523	19627523
ENSG00000273300	loop	loop_22_19367523_19627523	22	19367523	19627523
ENSG00000070010	loop	loop_22_19377523_19667523	22	19377523	19667523
ENSG00000093009	loop	loop_22_19377523_19667523	22	19377523	19667523
ENSG00000184113	loop	loop_22_19377523_19667523	22	19377523	19667523
ENSG00000185065	loop	loop_22_19377523_19667523	22	19377523	19667523
ENSG00000185608	loop	loop_22_19377523_19667523	22	19377523	19667523
ENSG00000273300	loop	loop_22_19377523_19667523	22	19377523	19667523
ENSG00000184113	loop	loop_22_19477523_19617523	22	19477523	19617523
