gene_id	type	func_id	chr	pos_start	pos_end
ENSG00000069998	domain	domain_22_17580000_18020000	22	17580000	18020000
ENSG00000093072	domain	domain_22_17580000_18020000	22	17580000	18020000
ENSG00000183307	domain	domain_22_17580000_18020000	22	17580000	18020000
ENSG00000235478	domain	domain_22_17580000_18020000	22	17580000	18020000
ENSG00000015475	domain	domain_22_18040000_18270000	22	18040000	18270000
ENSG00000099968	domain	domain_22_18040000_18270000	22	18040000	18270000
ENSG00000131100	domain	domain_22_18040000_18270000	22	18040000	18270000
ENSG00000182902	domain	domain_22_18040000_18270000	22	18040000	18270000
ENSG00000236754	domain	domain_22_18040000_18270000	22	18040000	18270000
ENSG00000269220	domain	domain_22_18040000_18270000	22	18040000	18270000
ENSG00000225335	domain	domain_22_18310000_18580000	22	18310000	18580000
ENSG00000070010	domain	domain_22_18910000_19700000	22	18910000	19700000
ENSG00000070371	domain	domain_22_18910000_19700000	22	18910000	19700000
ENSG00000070413	domain	domain_22_18910000_19700000	22	18910000	19700000
ENSG00000093009	domain	domain_22_18910000_19700000	22	18910000	19700000
ENSG00000100056	domain	domain_22_18910000_19700000	22	18910000	19700000
ENSG00000100075	domain	domain_22_18910000_19700000	22	18910000	19700000
ENSG00000100084	domain	domain_22_18910000_19700000	22	18910000	19700000
ENSG00000184113	domain	domain_22_18910000_19700000	22	18910000	19700000
ENSG00000185065	domain	domain_22_18910000_19700000	22	18910000	19700000
ENSG00000185608	domain	domain_22_18910000_19700000	22	18910000	19700000
ENSG00000223461	domain	domain_22_18910000_19700000	22	18910000	19700000
ENSG00000237517	domain	domain_22_18910000_19700000	22	18910000	19700000
ENSG00000241527	domain	domain_22_18910000_19700000	22	18910000	19700000
ENSG00000242259	domain	domain_22_18910000_19700000	22	18910000	19700000
ENSG00000260924	domain	domain_22_18910000_19700000	22	18910000	19700000
ENSG00000272682	domain	domain_22_18910000_19700000	22	18910000	19700000
ENSG00000273032	domain	domain_22_18910000_19700000	22	18910000	19700000
ENSG00000273164	domain	domain_22_18910000_19700000	22	18910000	19700000
ENSG00000273300	domain	domain_22_18910000_19700000	22	18910000	19700000
ENSG00000273311	domain	domain_22_18910000_19700000	22	18910000	19700000
ENSG00000070413	domain	domain_22_18920000_19130000	22	18920000	19130000
ENSG00000223461	domain	domain_22_18920000_19130000	22	18920000	19130000
ENSG00000237517	domain	domain_22_18920000_19130000	22	18920000	19130000
ENSG00000241527	domain	domain_22_18920000_19130000	22	18920000	19130000
ENSG00000272682	domain	domain_22_18920000_19130000	22	18920000	19130000
ENSG00000273032	domain	domain_22_18920000_19130000	22	18920000	19130000
ENSG00000273164	domain	domain_22_18920000_19130000	22	18920000	19130000
ENSG00000273311	domain	domain_22_18920000_19130000	22	18920000	19130000
ENSG00000070371	domain	domain_22_19160000_19390000	22	19160000	19390000
ENSG00000100075	domain	domain_22_19160000_19390000	22	19160000	19390000
ENSG00000070010	domain	domain_22_19160000_19670000	22	19160000	19670000
ENSG00000070371	domain	domain_22_19160000_19670000	22	19160000	19670000
ENSG00000093009	domain	domain_22_19160000_19670000	22	19160000	19670000
ENSG00000100075	domain	domain_22_19160000_19670000	22	19160000	19670000
ENSG00000100084	domain	domain_22_19160000_19670000	22	19160000	19670000
ENSG00000184113	domain	domain_22_19160000_19670000	22	19160000	19670000
ENSG00000185065	domain	domain_22_19160000_19670000	22	19160000	19670000
ENSG00000185608	domain	domain_22_19160000_19670000	22	19160000	19670000
ENSG00000242259	domain	domain_22_19160000_19670000	22	19160000	19670000
ENSG00000273300	domain	domain_22_19160000_19670000	22	19160000	19670000
ENSG00000093009	domain	domain_22_19460000_19660000	22	19460000	19660000
ENSG00000184113	domain	domain_22_19460000_19660000	22	19460000	19660000
ENSG00000184058	domain	domain_22_19710000_19940000	22	19710000	19940000
ENSG00000184470	domain	domain_22_19710000_19940000	22	19710000	19940000
ENSG00000185838	domain	domain_22_19710000_19940000	22	19710000	19940000
ENSG00000215012	domain	domain_22_19710000_19940000	22	19710000	19940000
ENSG00000232926	domain	domain_22_19710000_19940000	22	19710000	19940000
ENSG00000235776	domain	domain_22_19710000_19940000	22	19710000	19940000
ENSG00000099889	domain	domain_22_19940000_20100000	22	19940000	20100000
ENSG00000128191	domain	domain_22_19940000_20100000	22	19940000	20100000
ENSG00000183597	domain	domain_22_19940000_20100000	22	19940000	20100000
ENSG00000236540	domain	domain_22_19940000_20100000	22	19940000	20100000
ENSG00000099910	domain	domain_22_20700000_21090000	22	20700000	21090000
ENSG00000099917	domain	domain_22_20700000_21090000	22	20700000	21090000
ENSG00000185252	domain	domain_22_20700000_21090000	22	20700000	21090000
ENSG00000215493	domain	domain_22_20700000_21090000	22	20700000	21090000
ENSG00000223553	domain	domain_22_20700000_21090000	22	20700000	21090000
ENSG00000226287	domain	domain_22_20700000_21090000	22	20700000	21090000
ENSG00000234252	domain	domain_22_20700000_21090000	22	20700000	21090000
ENSG00000236670	domain	domain_22_20700000_21090000	22	20700000	21090000
ENSG00000244486	domain	domain_22_20700000_21090000	22	20700000	21090000
ENSG00000223553	domain	domain_22_20930000_21080000	22	20930000	21080000
ENSG00000226287	domain	domain_22_20930000_21080000	22	20930000	21080000
ENSG00000099940	domain	domain_22_21150000_21460000	22	21150000	21460000
ENSG00000099942	domain	domain_22_21150000_21460000	22	21150000	21460000
ENSG00000099949	domain	domain_22_21150000_21460000	22	21150000	21460000
ENSG00000099957	domain	domain_22_21150000_21460000	22	21150000	21460000
ENSG00000161149	domain	domain_22_21150000_21460000	22	21150000	21460000
ENSG00000183773	domain	domain_22_21150000_21460000	22	21150000	21460000
ENSG00000184436	domain	domain_22_21150000_21460000	22	21150000	21460000
ENSG00000230513	domain	domain_22_21150000_21460000	22	21150000	21460000
ENSG00000237476	domain	domain_22_21150000_21460000	22	21150000	21460000
ENSG00000272829	domain	domain_22_21150000_21460000	22	21150000	21460000
ENSG00000100027	domain	domain_22_22040000_22310000	22	22040000	22310000
ENSG00000100030	domain	domain_22_22040000_22310000	22	22040000	22310000
ENSG00000100034	domain	domain_22_22040000_22310000	22	22040000	22310000
ENSG00000224086	domain	domain_22_22040000_22310000	22	22040000	22310000
ENSG00000182502	domain	domain_22_22340000_22540000	22	22340000	22540000
ENSG00000197549	domain	domain_22_22340000_22540000	22	22340000	22540000
ENSG00000211637	domain	domain_22_22340000_22540000	22	22340000	22540000
ENSG00000211638	domain	domain_22_22340000_22540000	22	22340000	22540000
ENSG00000211639	domain	domain_22_22340000_22540000	22	22340000	22540000
ENSG00000253239	domain	domain_22_22340000_22540000	22	22340000	22540000
ENSG00000182502	domain	domain_22_22340000_22730000	22	22340000	22730000
ENSG00000197549	domain	domain_22_22340000_22730000	22	22340000	22730000
ENSG00000211637	domain	domain_22_22340000_22730000	22	22340000	22730000
